Label,char_count,word_count,title_word_count,stopword_count,upper_case,subjectivity,polarity,noun_count,conjuction_count,adjective_count,pronoun_count,adverb_count,prepositions_count,verb_count
Fake,2016,313,9,35,91,0.2807416267942584,0.00514354066985646,137,35,22,10,12,16,52
Fake,2126,339,10,36,76,0.3281198686371101,-0.05301724137931035,128,58,34,12,14,10,58
Fake,1888,311,9,42,113,0.3518115942028985,0.08731884057971015,117,32,24,15,12,9,67
Fake,1886,290,10,35,78,0.5088607883344726,0.14577352472089314,118,33,30,10,12,12,61
Fake,1805,298,11,34,89,0.3483258928571429,0.15412946428571425,134,43,27,5,9,5,36
Fake,4906,841,13,74,131,0.4769031385281386,0.157940386002886,255,110,72,48,46,19,178
Fake,1107,188,11,30,31,0.5786796536796537,0.1409090909090909,61,21,10,12,6,11,44
Fake,2300,367,16,36,84,0.39829545454545456,-0.03067067736185384,157,46,29,12,15,9,62
Fake,1976,332,12,41,60,0.4316771159874608,0.11215256008359456,114,53,23,25,12,5,58
Fake,2362,398,8,50,67,0.3760590277777778,0.060416666666666674,136,45,45,12,14,13,79
Fake,3806,640,11,59,110,0.4972623966942149,0.17648071625344355,228,84,44,39,35,19,128
Fake,2069,338,12,45,75,0.4112272727272727,0.003109848484848486,120,49,23,8,5,13,66
Fake,2935,462,11,52,102,0.3215336134453781,0.02291666666666667,176,65,46,19,15,14,101
Fake,869,127,10,24,25,0.3560714285714286,0.04440476190476191,42,16,11,3,10,2,28
Fake,2578,433,10,48,84,0.5627352092352091,0.26407115800865805,156,46,57,41,15,13,90
Fake,7247,1211,21,77,192,0.36900833734167066,0.06609938672438674,363,146,114,72,54,33,268
Fake,847,131,8,21,39,0.4095538720538721,0.16809764309764308,65,16,9,1,2,3,19
Fake,2061,313,11,40,140,0.3063025210084033,0.04226190476190477,148,46,20,10,13,6,50
Fake,2064,364,11,49,49,0.4987448009506832,-0.0440285204991087,115,45,37,36,19,16,86
Fake,1184,181,11,25,39,0.2709090909090909,0.08727272727272728,78,24,16,2,5,5,28
Fake,829,134,6,25,25,0.24722222222222226,-0.03333333333333334,53,16,18,3,3,5,27
Fake,3619,623,12,67,92,0.4539610389610391,0.12050180375180372,204,78,61,29,47,27,111
Fake,2188,378,12,64,90,0.4704285714285714,0.045428571428571436,127,45,22,30,24,12,72
Fake,2959,505,15,59,74,0.4137996506417559,-0.006875142401458192,165,53,38,38,27,16,104
Fake,2144,360,14,49,79,0.4935206098249577,0.1409702616224355,136,50,22,23,19,9,77
Fake,2831,470,12,59,73,0.4596371882086168,0.1346776805960479,145,63,50,33,23,17,102
Fake,2792,480,11,62,75,0.4682743182743183,0.1123076923076923,139,65,43,45,29,20,103
Fake,1488,257,8,48,41,0.4963582251082251,0.17616341991341994,81,30,25,12,16,12,49
Fake,1996,350,16,50,78,0.4735119047619048,0.06785714285714288,107,30,24,32,19,10,78
Fake,2644,484,15,54,77,0.4652319902319902,0.15964729714729714,161,57,39,34,30,16,88
Fake,5583,884,14,70,217,0.4328124999999999,0.05525568181818183,289,118,58,28,47,27,201
Fake,2298,397,13,56,78,0.5160119047619047,0.13687499999999994,115,45,33,22,29,10,85
Fake,1378,219,12,32,56,0.3,-0.1875,99,33,12,4,4,8,38
Fake,1575,270,13,41,68,0.3562626262626262,0.015656565656565667,84,23,29,20,10,11,53
Fake,3388,528,14,43,98,0.2637864823348694,0.06603477167993296,214,59,51,13,25,18,95
Fake,1048,174,9,32,329,0.33222402597402595,-0.046076839826839855,91,17,6,10,4,6,30
Fake,1387,219,8,21,49,0.25555555555555554,0.09907407407407408,118,29,21,4,7,6,34
Fake,1403,211,8,33,46,0.537962962962963,0.17685185185185182,85,23,24,5,6,9,40
Fake,5086,794,12,72,213,0.3634648268398267,0.08654599567099568,265,90,76,42,45,21,132
Fake,1997,319,9,37,68,0.5600448933782267,-0.019640852974186298,136,54,33,10,7,10,60
Fake,2687,445,9,45,124,0.3350491932310115,0.05424635970090515,189,60,42,15,23,13,73
Fake,2621,400,7,38,109,0.3425085034013605,0.10229591836734694,182,48,36,5,13,12,61
Fake,1967,310,9,32,105,0.2831037649219468,0.061421028466483014,147,31,30,7,12,11,57
Fake,2387,402,13,53,86,0.34143819143819143,-0.02524050024050023,156,53,45,27,23,4,95
Fake,2096,352,14,43,79,0.3995510662177328,0.003198653198653199,125,48,24,11,22,12,58
Fake,1362,242,12,36,268,0.5326659451659452,0.30988906926406923,117,22,15,9,8,4,41
Fake,1701,299,12,44,68,0.4285188325886001,0.05348501627571396,89,34,32,21,15,9,58
Fake,1888,307,11,50,68,0.4902191558441558,0.06706574675324678,99,41,25,18,15,7,56
Fake,1409,244,7,38,128,0.4626984126984127,0.06547619047619048,103,34,12,18,3,6,52
Fake,1152,210,12,40,68,0.6664351851851852,0.22245370370370374,67,23,18,19,10,8,38
